Geographic Area,City,percent_completed_hs,,
AL,Faunsdale town,85.7,town,4
AL,Fayette city,79.1,city,4
AL,Fayetteville CDP,68.5,CDP,3
AL,Fitzpatrick CDP,60.7,CDP,3
AL,Five Points town,61.9,town,4
AL,Flomaton town,77.3,town,4
AL,Florala town,79.6,town,4
AL,Florence city,84.4,city,4
AL,Foley city,91.5,city,4
AL,Forestdale CDP,93.5,CDP,3
AL,Forkland town,74.1,town,4
AL,Fort Deposit town,70.5,town,4
AL,Fort Payne city,67.7,city,4
AL,Fort Rucker CDP,98.8,CDP,3
AL,Franklin town,85,town,4
AL,Fredonia CDP,88.6,CDP,3
AL,Frisco City town,77.3,town,4
AL,Fruitdale CDP,93.3,CDP,3
AL,Fruithurst town,75.8,town,4
AL,Fulton town,76,town,4
AL,Fultondale city,85.1,city,4
AL,Fyffe town,83.7,town,4
AL,Gadsden city,78.3,city,4
AL,Gainesville town,76.7,town,4
AL,Gallant CDP,83.7,CDP,3
AL,Gantt town,85.6,town,4
AL,Garden City town,79.8,town,4
AL,Gardendale city,92.2,city,4
AL,Gaylesville town,78.4,town,4
AL,Geiger town,71.3,town,4
AL,Geneva city,78.1,city,4
AL,Georgiana town,71.1,town,4
AL,Geraldine town,84.2,town,4
AL,Gilbertown town,83.8,town,4
AL,Glen Allen town,76.5,town,4
AL,Glencoe city,86.6,city,4
AL,Glenwood town,84.8,town,4
AL,Goldville town,86.7,town,4
AL,Good Hope town,86.5,town,4
AL,Goodwater town,71.6,town,4
AL,Gordo town,80.4,town,4
AL,Gordon town,66.8,town,4
AL,Gordonville town,76.1,town,4
AL,Goshen town,71.2,town,4
AL,Graham CDP,74,CDP,3
AL,Grand Bay CDP,84.6,CDP,3
AL,Grant town,89.2,town,4
AL,Grayson Valley CDP,90.4,CDP,3
AL,Graysville city,79.8,city,4
AL,Greensboro city,75,city,4
AL,Greenville city,78.4,city,4
AL,Grimes town,84.5,town,4
AL,Grove Hill town,85.8,town,4
AL,Guin city,75.4,city,4
AL,Gulfcrest CDP,87.2,CDP,3
AL,Gulf Shores city,92.9,city,4
AL,Guntersville city,83.1,city,4
AL,Gurley town,74.5,town,4
AL,Gu-Win town,87.2,town,4
AL,Hackleburg town,76.5,town,4
AL,Hackneyville CDP,95.1,CDP,3
AL,Haleburg town,80,town,4
AL,Haleyville city,70.7,city,4
AL,Hamilton city,82.7,city,4
AL,Hammondville town,74.5,town,4
AL,Hanceville city,77.7,city,4
