Geographic Area,City,percent_completed_hs,,
IN,Walkerton town,86,town,4
IN,Wallace town,83.3,town,4
IN,Walton town,84.1,town,4
IN,Wanatah town,90.8,town,4
IN,Warren town,90.8,town,4
IN,Warren Park town,76.7,town,4
IN,Warsaw city,85.4,city,4
IN,Washington city,81.1,city,4
IN,Waterloo town,85.5,town,4
IN,Waveland town,83.1,town,4
IN,Waynetown town,86.3,town,4
IN,West Baden Springs town,83.6,town,4
IN,West College Corner town,77.2,town,4
IN,Westfield city,96.5,city,4
IN,West Harrison town,73.4,town,4
IN,West Lafayette city,93.9,city,4
IN,West Lebanon town,87,town,4
IN,Westphalia CDP,88.7,CDP,3
IN,West Point CDP,100,CDP,3
IN,Westport town,84.6,town,4
IN,West Terre Haute town,76,town,4
IN,Westville town,74,town,4
IN,Wheatfield town,93.3,town,4
IN,Wheatland town,88.3,town,4
IN,Wheeler CDP,85.9,CDP,3
IN,Whiteland town,94.2,town,4
IN,Whitestown town,95.6,town,4
IN,Whitewater town,86.5,town,4
IN,Whiting city,87.8,city,4
IN,Wilkinson town,90,town,4
IN,Williams CDP,94.2,CDP,3
IN,Williams Creek town,99.2,town,4
IN,Williamsport town,81.9,town,4
IN,Winamac town,85.8,town,4
IN,Winchester city,81.4,city,4
IN,Windfall City town,77.8,town,4
IN,Winfield town,93.8,town,4
IN,Wingate town,88.8,town,4
IN,Winona Lake town,91.4,town,4
IN,Winslow town,81.6,town,4
IN,Wolcott town,91.2,town,4
IN,Wolcottville town,74.2,town,4
IN,Woodburn city,89.6,city,4
IN,Woodlawn Heights town,100,town,4
IN,Worthington town,80.5,town,4
IN,Wynnedale town,97.9,town,4
IN,Yeoman town,85.1,town,4
IN,Yorktown town,95.2,town,4
IN,Zanesville town,88.3,town,4
IN,Zionsville town,98,town,4
IA,Ackley city,87.1,city,4
IA,Ackworth city,75.8,city,4
IA,Adair city,95.1,city,4
IA,Adel city,92.2,city,4
IA,Afton city,88.1,city,4
IA,Agency city,88.7,city,4
IA,Ainsworth city,81.2,city,4
IA,Akron city,87.4,city,4
IA,Albert City city,92.3,city,4
IA,Albia city,86.8,city,4
IA,Albion city,91.3,city,4
IA,Alburnett city,95.8,city,4
IA,Alden city,84.2,city,4
IA,Alexander city,84.4,city,4
IA,Algona city,94.4,city,4
IA,Alleman city,96.9,city,4
IA,Allerton city,89.1,city,4
IA,Allison city,94.1,city,4
IA,Alta city,88.1,city,4
IA,Alta Vista city,93.1,city,4
IA,Alton city,88.8,city,4
IA,Altoona city,94.9,city,4
IA,Alvord city,95.5,city,4
IA,Amana CDP,98.7,CDP,3
IA,Ames city,97.4,city,4
IA,Anamosa city,90.1,city,4
IA,Anderson CDP,-,CDP,3
IA,Andover city,89.3,city,4
IA,Andrew city,83.7,city,4
IA,Anita city,93.7,city,4
IA,Ankeny city,97.3,city,4
IA,Anthon city,90.8,city,4
IA,Aplington city,87.3,city,4
IA,Arcadia city,92.3,city,4
IA,Archer city,93.3,city,4
IA,Aredale city,79.1,city,4
IA,Arion city,68.3,city,4
IA,Arispe city,89.8,city,4
IA,Arlington city,88.6,city,4
IA,Armstrong city,89.6,city,4
IA,Arnolds Park city,95.1,city,4
IA,Arthur city,94.1,city,4
IA,Asbury city,96.3,city,4
IA,Ashton city,89.8,city,4
IA,Aspinwall city,86.7,city,4
IA,Atalissa city,85.5,city,4
IA,Athelstan CDP,65.2,CDP,3
IA,Atkins city,94.6,city,4
IA,Atlantic city,90,city,4
IA,Auburn city,84,city,4
IA,Audubon city,89.7,city,4
IA,Aurelia city,93.1,city,4
IA,Aurora city,86.4,city,4
IA,Avoca city,89.9,city,4
IA,Ayrshire city,91,city,4
IA,Badger city,97.9,city,4
IA,Bagley city,91.9,city,4
IA,Baldwin city,85.4,city,4
IA,Balltown city,78.2,city,4
IA,Bancroft city,91.4,city,4
IA,Bankston city,95.6,city,4
IA,Barnes City city,81.5,city,4
IA,Barnum city,90.2,city,4
IA,Bartlett CDP,-,CDP,3
IA,Bassett city,96.5,city,4
IA,Batavia city,88.3,city,4
IA,Battle Creek city,89.7,city,4
IA,Baxter city,90.2,city,4
IA,Bayard city,85.7,city,4
IA,Beacon city,75.5,city,4
IA,Beaconsfield city,84,city,4
IA,Beaman city,90.5,city,4
IA,Beaver city,90.7,city,4
IA,Beaverdale CDP,90.2,CDP,3
IA,Bedford city,92.4,city,4
IA,Belle Plaine city,88.1,city,4
IA,Bellevue city,90.4,city,4
IA,Belmond city,91.8,city,4
IA,Bennett city,84.5,city,4
IA,Bentley CDP,100,CDP,3
IA,Benton city,91.9,city,4
IA,Berkley city,70,city,4
IA,Bernard city,93.5,city,4
IA,Bertram city,96,city,4
IA,Bettendorf city,97,city,4
IA,Bevington city,79.3,city,4
IA,Birmingham city,94.8,city,4
IA,Blairsburg city,93.4,city,4
IA,Blairstown city,85.8,city,4
IA,Blakesburg city,85.9,city,4
IA,Blanchard city,78.6,city,4
IA,Blencoe city,90.4,city,4
IA,Blockton city,90.5,city,4
IA,Bloomfield city,92.7,city,4
IA,Blue Grass city,89,city,4
IA,Bode city,86.3,city,4
IA,Bolan CDP,100,CDP,3
IA,Bonaparte city,90.4,city,4
IA,Bondurant city,92.3,city,4
IA,Boone city,94.3,city,4
IA,Bouton city,92.2,city,4
IA,Boxholm city,94.8,city,4
IA,Boyden city,86.4,city,4
IA,Braddyville city,97.5,city,4
IA,Bradford CDP,88.5,CDP,3
IA,Bradgate city,96.3,city,4
IA,Brandon city,83.5,city,4
IA,Brayton city,85.9,city,4
IA,Breda city,98.4,city,4
IA,Bridgewater city,98.2,city,4
IA,Brighton city,91.2,city,4
IA,Bristow city,83.2,city,4
IA,Britt city,89.7,city,4
IA,Bronson city,97.1,city,4
IA,Brooklyn city,92.1,city,4
IA,Brunsville city,97.5,city,4
IA,Buckeye city,83.1,city,4
IA,Buck Grove city,95.2,city,4
IA,Buffalo city,84.2,city,4
IA,Buffalo Center city,94.6,city,4
IA,Burchinal CDP,100,CDP,3
IA,Burlington city,89.7,city,4
IA,Burr Oak CDP,90.1,CDP,3
IA,Burt city,87.3,city,4
IA,Bussey city,88.9,city,4
IA,Calamus city,95.8,city,4
IA,California Junction CDP,73.2,CDP,3
IA,Callender city,84.5,city,4
IA,Calmar city,92.1,city,4
IA,Calumet city,97.3,city,4
IA,Camanche city,96.8,city,4
IA,Cambridge city,92.9,city,4
IA,Cantril city,83.6,city,4
IA,Carbon city,92.6,city,4
IA,Carlisle city,97.1,city,4
IA,Carpenter city,90.1,city,4
IA,Carroll city,91.2,city,4
IA,Carson city,89.4,city,4
IA,Carter Lake city,88,city,4
IA,Cascade city,88.9,city,4
IA,Casey city,90.9,city,4
IA,Castalia city,85.7,city,4
IA,Castana city,92.2,city,4
IA,Cedar Falls city,95.4,city,4
IA,Cedar Rapids city,93.5,city,4
IA,Center Junction city,86.4,city,4
IA,Center Point city,95.8,city,4
IA,Centerville city,87,city,4
IA,Central City city,95.1,city,4
IA,Centralia city,95.5,city,4
IA,Chapin CDP,85.3,CDP,3
IA,Chariton city,88.2,city,4
IA,Charles City city,85.5,city,4
IA,Charlotte city,94.4,city,4
IA,Charter Oak city,86.7,city,4
IA,Chatsworth city,81.6,city,4
IA,Chelsea city,68.4,city,4
IA,Cherokee city,86.9,city,4
IA,Chester city,91.2,city,4
IA,Chillicothe city,81.5,city,4
IA,Churdan city,91.3,city,4
IA,Cincinnati city,83.5,city,4
IA,Clare city,97.3,city,4
IA,Clarence city,86.8,city,4
IA,Clarinda city,88,city,4
IA,Clarion city,90.3,city,4
IA,Clarksville city,86.6,city,4
IA,Clayton city,90.5,city,4
IA,Clearfield city,81,city,4
IA,Clear Lake city,95.2,city,4
IA,Cleghorn city,95.8,city,4
IA,Clemons city,92.9,city,4
IA,Clermont city,90.5,city,4
IA,Climbing Hill CDP,84.3,Hill CDP,8
IA,Clinton city,89.1,city,4
IA,Clio city,93.2,city,4
IA,Clive city,93.9,city,4
IA,Clutier city,78.5,city,4
IA,Coalville CDP,96.7,CDP,3
IA,Coburg city,76,city,4
IA,Coggon city,87.7,city,4
IA,Coin city,81.8,city,4
IA,Colesburg city,85.4,city,4
IA,Colfax city,93.3,city,4
IA,College Springs city,91.7,city,4
IA,Collins city,94.3,city,4
IA,Colo city,93.3,city,4
IA,Columbus City city,65.2,city,4
IA,Columbus Junction city,66.8,city,4
IA,Colwell city,95.8,city,4
IA,Conesville city,62.4,city,4
IA,Conrad city,91.4,city,4
IA,Conroy CDP,93.7,CDP,3
IA,Conway city,100,city,4
IA,Coon Rapids city,92.2,city,4
IA,Coppock city,87.8,city,4
IA,Coralville city,95.3,city,4
IA,Corley CDP,81.4,CDP,3
IA,Corning city,90.7,city,4
IA,Correctionville city,89.7,city,4
IA,Corwith city,90.4,city,4
IA,Corydon city,89.4,city,4
IA,Cotter city,94.7,city,4
IA,Coulter city,84,city,4
IA,Council Bluffs city,86.9,city,4
IA,Craig city,90.3,city,4
IA,Crawfordsville city,83.3,city,4
IA,Crescent city,88.3,city,4
IA,Cresco city,91.2,city,4
IA,Creston city,93.9,city,4
IA,Cromwell city,97.1,city,4
IA,Crystal Lake city,96,city,4
IA,Cumberland city,89.3,city,4
IA,Cumming city,98.7,city,4
IA,Curlew city,98,city,4
IA,Cushing city,94.2,city,4
IA,Cylinder city,97.8,city,4
IA,Dakota City city,90.1,city,4
IA,Dallas Center city,95.4,city,4
IA,Dana city,84.1,city,4
IA,Danbury city,87.6,city,4
IA,Danville city,95.6,city,4
IA,Davenport city,90.6,city,4
IA,Davis City city,79.9,city,4
IA,Dawson city,79.5,city,4
IA,Dayton city,86.9,city,4
IA,Decatur City city,79.3,city,4
IA,Decorah city,94.8,city,4
IA,Dedham city,94.2,city,4
IA,Deep River city,85.6,city,4
IA,Defiance city,91.3,city,4
IA,Delaware city,87.7,city,4
IA,Delhi city,91.6,city,4
IA,Delmar city,92.3,city,4
IA,Deloit city,71.5,city,4
IA,Delphos city,30,city,4
IA,Delta city,85.2,city,4
IA,Denison city,66,city,4
IA,Denmark CDP,86.7,CDP,3
IA,Denver city,97.7,city,4
IA,Derby city,84.6,city,4
IA,Des Moines city,87.3,#VALUE!,#VALUE!
IA,De Soto city,93.6,#VALUE!,#VALUE!
IA,De Witt city,96.6,#VALUE!,#VALUE!
IA,Dexter city,95.2,city,4
IA,Diagonal city,84,city,4
IA,Diamondhead Lake CDP,83.7,Lake CDP,8
IA,Dickens city,89,city,4
IA,Dike city,96.9,city,4
IA,Dixon city,96.4,city,4
IA,Dolliver city,72.9,city,4
IA,Donahue city,92.5,city,4
IA,Donnellson city,91.4,city,4
IA,Doon city,88.3,city,4
IA,Douds CDP,100,CDP,3
IA,Dougherty city,90.2,city,4
IA,Dow City city,85.6,#VALUE!,#VALUE!
IA,Dows city,90.9,city,4
IA,Drakesville city,84.5,city,4
IA,Dubuque city,91.3,city,4
IA,Dumont city,87.6,city,4
IA,Duncan CDP,55.8,CDP,3
IA,Duncombe city,88,city,4
IA,Dundee city,92.5,city,4
IA,Dunkerton city,92.7,city,4
IA,Dunlap city,85.5,city,4
IA,Durango city,84.6,city,4
IA,Durant city,93.2,city,4
IA,Dyersville city,88.9,city,4
IA,Dysart city,93.1,city,4
IA,Eagle Grove city,83.9,city,4
IA,Earlham city,98.5,city,4
IA,Earling city,86,city,4
IA,Earlville city,89.7,city,4
IA,Early city,96.8,city,4
IA,East Amana CDP,66.7,CDP,3
IA,East Peru city,79.2,city,4
IA,Eddyville city,95.5,city,4
IA,Edgewood city,88,city,4
IA,Elberon city,85.2,city,4
IA,Eldon city,83.7,city,4
IA,Eldora city,88.9,city,4
IA,Eldridge city,96.6,city,4
IA,Elgin city,93.4,city,4
IA,Elkader city,96.4,city,4
IA,Elkhart city,92.4,city,4
IA,Elk Horn city,86.5,#VALUE!,#VALUE!
IA,Elkport city,58.8,city,4
IA,Elk Run Heights city,85,#VALUE!,#VALUE!
IA,Elliott city,83.3,city,4
IA,Ellston city,100,city,4
IA,Ellsworth city,94,city,4
IA,Elma city,91.4,city,4
IA,Ely city,98,#VALUE!,#VALUE!
IA,Emerson city,93.9,city,4
IA,Emmetsburg city,92.6,city,4
IA,Epworth city,97.3,city,4
IA,Essex city,92.8,city,4
IA,Estherville city,87.4,city,4
IA,Evansdale city,90.2,city,4
IA,Everly city,84.6,city,4
IA,Exira city,84.9,city,4
IA,Exline city,73.8,city,4
IA,Fairbank city,96,city,4
IA,Fairfax city,97.8,city,4
IA,Fairfield city,95,city,4
IA,Farley city,94.9,city,4
IA,Farmersburg city,94.7,city,4
IA,Farmington city,79.2,city,4
IA,Farnhamville city,96.9,city,4
IA,Farragut city,94.8,city,4
IA,Fayette city,86.3,city,4
IA,Fenton city,91.7,city,4
IA,Ferguson city,88.5,city,4
IA,Fertile city,90.7,city,4
IA,Floris city,88.3,city,4
IA,Floyd city,81.7,city,4
IA,Fonda city,92.6,city,4
IA,Fontanelle city,90,city,4
IA,Forest City city,93.8,city,4
IA,Fort Atkinson city,86.4,city,4
IA,Fort Dodge city,89.6,city,4
IA,Fort Madison city,91.7,city,4
IA,Fostoria city,87.9,city,4
IA,Franklin city,91.4,city,4
IA,Fraser city,89,city,4
IA,Fredericksburg city,90.3,city,4
IA,Frederika city,93.2,city,4
IA,Fredonia city,65.3,city,4
IA,Fremont city,91.1,city,4
IA,Fruitland city,91.8,city,4
IA,Frytown CDP,100,CDP,3
IA,Galt city,98.2,city,4
IA,Galva city,87.9,city,4
IA,Garber city,93.5,city,4
IA,Garden City CDP,100,CDP,3
IA,Garden Grove city,86.7,city,4
IA,Garnavillo city,86.6,city,4
IA,Garner city,94.8,city,4
IA,Garrison city,91.7,city,4
IA,Garwin city,94.5,city,4
IA,Geneva city,93.8,city,4
IA,George city,84.6,city,4
IA,Gibson city,95,city,4
IA,Gilbert city,98.6,city,4
IA,Gilbertville city,93.1,city,4
IA,Gillett Grove city,83.8,city,4
IA,Gilman city,92,city,4
IA,Gilmore City city,90.4,city,4
IA,Gladbrook city,96.3,city,4
IA,Glenwood city,90,city,4
IA,Glidden city,93.7,city,4
IA,Goldfield city,89.8,city,4
IA,Goodell city,83.5,city,4
IA,Goose Lake city,94.2,city,4
IA,Gowrie city,88.1,city,4
IA,Graettinger city,90.7,city,4
IA,Graf city,91.7,city,4
IA,Grafton city,90,city,4
IA,Grand Junction city,88.4,city,4
IA,Grand Mound city,96.3,city,4
IA,Grand River city,82.7,city,4
IA,Grandview city,87.1,city,4
IA,Granger city,93.8,city,4
IA,Grant city,95.1,city,4
IA,Granville city,91.6,city,4
IA,Gravity city,79,city,4
IA,Gray city,94.6,city,4
IA,Greeley city,77.1,city,4
IA,Greene city,90,city,4
IA,Greenfield city,90.7,city,4
IA,Green Mountain CDP,96.7,CDP,3
IA,Greenville city,84.7,city,4
IA,Grimes city,96.1,city,4
IA,Grinnell city,93.1,city,4
IA,Griswold city,88.4,city,4
IA,Grundy Center city,94,city,4
IA,Gruver city,93.2,city,4
IA,Guernsey city,94,city,4
IA,Guthrie Center city,88.8,city,4
IA,Guttenberg city,93,city,4
IA,Halbur city,92.8,city,4
IA,Hamburg city,88.5,city,4
IA,Hamilton city,93.5,city,4
IA,Hampton city,82.1,city,4
IA,Hancock city,91.2,city,4
IA,Hanlontown city,93.6,city,4
IA,Hansell city,94.1,city,4
IA,Harcourt city,88.1,city,4
IA,Hardy city,47.6,city,4
IA,Harlan city,89.9,city,4
IA,Harper city,93,city,4
IA,Harpers Ferry city,88.4,city,4
IA,Harris city,76.7,city,4
IA,Hartford city,92.7,city,4
IA,Hartley city,90.3,city,4
IA,Hartwick city,98.5,city,4
IA,Harvey city,86.7,city,4
IA,Hastings city,87.4,city,4
IA,Havelock city,90.7,city,4
IA,Haverhill city,90.1,city,4
IA,Hawarden city,79.7,city,4
IA,Hawkeye city,90.5,city,4
IA,Hayesville city,85.7,city,4
IA,Hayfield CDP,100,CDP,3
IA,Hazleton city,92,city,4
IA,Hedrick city,87.6,city,4
IA,Henderson city,92.3,city,4
IA,Hepburn city,93.8,city,4
IA,Hiawatha city,94.6,city,4
IA,High Amana CDP,100,CDP,3
IA,Hills city,93.1,city,4
IA,Hillsboro city,83.4,city,4
IA,Hinton city,95.1,city,4
IA,Holiday Lake CDP,94.9,CDP,3
IA,Holland city,92.9,city,4
IA,Holstein city,94.2,city,4
IA,Holy Cross city,90.5,city,4
IA,Homestead CDP,100,CDP,3
IA,Hopkinton city,89.2,city,4
IA,Hornick city,84.2,city,4
IA,Hospers city,89,city,4
IA,Houghton city,85.5,city,4
IA,Hubbard city,86,city,4
IA,Hudson city,97.9,city,4
IA,Hull city,80.5,city,4
IA,Humboldt city,91.9,city,4
IA,Humeston city,92.1,city,4
IA,Hutchins CDP,100,CDP,3
IA,Huxley city,93.3,city,4
IA,Ida Grove city,89,#VALUE!,#VALUE!
IA,Imogene city,88.5,city,4
IA,Independence city,92.1,city,4
IA,Indianola city,95.5,city,4
IA,Inwood city,87.9,city,4
IA,Ionia city,94,city,4
IA,Iowa City city,95.1,city,4
IA,Iowa Falls city,92.3,city,4
IA,Ireton city,92.6,city,4
IA,Irvington CDP,100,CDP,3
IA,Irwin city,91.6,city,4
IA,Jackson Junction city,96.8,city,4
IA,Jacksonville CDP,100,CDP,3
IA,Jamaica city,83.9,city,4
IA,Janesville city,94.9,city,4
IA,Jefferson city,90.7,city,4
IA,Jesup city,97.4,city,4
IA,Jewell Junction city,91.2,city,4
IA,Johnston city,96.6,city,4
IA,Joice city,95,city,4
IA,Jolley city,90.3,city,4
IA,Kalona city,84,city,4
IA,Kamrar city,86.9,city,4
IA,Kanawha city,86.7,city,4
IA,Kellerton city,91.3,city,4
IA,Kelley city,94.9,city,4
IA,Kellogg city,88.7,city,4
IA,Kensett city,90.9,city,4
IA,Kent CDP,85.7,CDP,3
IA,Keokuk city,89.4,city,4
IA,Keomah Village city,100,city,4
IA,Keosauqua city,95.8,city,4
IA,Keota city,90.5,city,4
IA,Keswick city,94,city,4
IA,Keystone city,93.6,city,4
IA,Kimballton city,87.3,city,4
IA,Kingsley city,94.2,city,4
IA,Kinross city,78.9,city,4
IA,Kirkman city,100,city,4
IA,Kirkville city,88.9,city,4
IA,Kiron city,91.3,city,4
IA,Klemme city,94.6,city,4
IA,Knierim city,100,city,4
IA,Knoxville city,89.9,city,4
IA,Lacona city,89.5,city,4
IA,Ladora city,88.1,city,4
IA,Lake City city,86.8,city,4
IA,Lake Mills city,90,city,4
IA,Lake Panorama CDP,100,CDP,3
IA,Lake Park city,94.8,city,4
IA,Lakeside city,82.5,city,4
IA,Lake View city,91.4,city,4
IA,Lakota city,82.6,city,4
IA,Lambs Grove city,93.9,city,4
IA,Lamoni city,89.5,city,4
IA,Lamont city,87,city,4
IA,La Motte city,91.7,#VALUE!,#VALUE!
IA,Lanesboro city,89.7,city,4
IA,Lansing city,95,city,4
IA,La Porte City city,93.7,#VALUE!,#VALUE!
IA,Larchwood city,90.4,city,4
IA,Larrabee city,89.3,city,4
IA,Latimer city,81.9,city,4
IA,Laurel city,90.8,city,4
IA,Laurens city,89.4,city,4
IA,Lawler city,92.9,city,4
IA,Lawton city,95.5,city,4
IA,Leando CDP,100,CDP,3
IA,Le Claire city,98.7,#VALUE!,#VALUE!
IA,Ledyard city,92.1,city,4
IA,Le Grand city,95,#VALUE!,#VALUE!
IA,Lehigh city,92.6,city,4
IA,Leighton city,93.5,city,4
IA,Leland city,92.4,city,4
IA,Le Mars city,89.7,#VALUE!,#VALUE!
IA,Lenox city,85.6,city,4
IA,Leon city,86.5,city,4
IA,Le Roy city,100,#VALUE!,#VALUE!
IA,Lester city,94.7,city,4
IA,Letts city,87.6,city,4
IA,Lewis city,84,city,4
IA,Libertyville city,92.8,city,4
IA,Lidderdale city,96.5,city,4
IA,Lime Springs city,87.9,city,4
IA,Lincoln city,89.8,city,4
IA,Linden city,79.5,city,4
IA,Lineville city,83.5,city,4
IA,Linn Grove city,94.6,city,4
IA,Lisbon city,91.9,city,4
IA,Liscomb city,95.2,city,4
IA,Little Cedar CDP,100,CDP,3
IA,Little Rock city,87.6,city,4
IA,Little Sioux city,75.2,city,4
IA,Livermore city,91.1,city,4
IA,Lockridge city,90.2,city,4
IA,Logan city,89.1,city,4
IA,Lohrville city,89.5,city,4
IA,Lone Rock city,82.6,city,4
IA,Lone Tree city,95,city,4
IA,Long Grove city,98.1,city,4
IA,Lorimor city,88.2,city,4
IA,Lost Nation city,89.9,city,4
IA,Loveland CDP,40,CDP,3
IA,Lovilia city,89,city,4
IA,Lowden city,91.7,city,4
IA,Low Moor city,92.3,#VALUE!,#VALUE!
IA,Luana city,87.9,city,4
IA,Lucas city,88.9,city,4
IA,Luther city,97.6,city,4
IA,Lu Verne city,82.4,#VALUE!,#VALUE!
IA,Luxemburg city,87.5,city,4
IA,Luzerne city,96.5,city,4
IA,Lynnville city,90.9,city,4
IA,Lytton city,90.4,city,4
IA,McCallsburg city,91.7,city,4
IA,McCausland city,92.7,city,4
IA,McClelland city,94.4,city,4
IA,Macedonia city,90.5,city,4
IA,McGregor city,94,city,4
IA,McIntire city,76.3,city,4
IA,Macksburg city,86.7,city,4
IA,Madrid city,91,city,4
IA,Magnolia city,87.3,city,4
IA,Maharishi Vedic City city,98.4,City city,9
IA,Malcom city,88.8,city,4
IA,Mallard city,91.4,city,4
IA,Maloy city,100,city,4
IA,Malvern city,90.4,city,4
IA,Manchester city,89.6,city,4
IA,Manilla city,86.3,city,4
IA,Manly city,92.2,city,4
IA,Manning city,92.9,city,4
IA,Manson city,94.3,city,4
IA,Mapleton city,89.1,city,4
IA,Maquoketa city,91.4,city,4
IA,Marathon city,79.3,city,4
IA,Marble Rock city,83,city,4
IA,Marcus city,91.2,city,4
IA,Marengo city,88.9,city,4
IA,Marion city,96.4,city,4
IA,Marne city,94,city,4
IA,Marquette city,88,city,4
IA,Marshalltown city,78.1,city,4
IA,Martelle city,93.2,city,4
IA,Martensdale city,93.3,city,4
IA,Martinsburg city,89.2,city,4
IA,Marysville city,85.3,city,4
IA,Mason City city,92.8,city,4
IA,Masonville city,87,city,4
IA,Massena city,91.7,city,4
IA,Matlock city,93.3,city,4
IA,Maurice city,90.7,city,4
IA,Maxwell city,95.9,city,4
IA,Maynard city,89.5,city,4
IA,Maysville city,93.2,city,4
IA,Mechanicsville city,92.1,city,4
IA,Mediapolis city,92.7,city,4
IA,Melbourne city,95.1,city,4
IA,Melcher-Dallas city,87.3,city,4
IA,Melrose city,82.7,city,4
IA,Melvin city,89.6,city,4
IA,Menlo city,87.8,city,4
IA,Meriden city,94,city,4
IA,Merrill city,93.5,city,4
IA,Meservey city,96.3,city,4
IA,Meyer CDP,-,CDP,3
IA,Middle Amana CDP,90.9,CDP,3
IA,Middletown city,94.6,city,4
IA,Miles city,90.7,city,4
IA,Milford city,93.8,city,4
IA,Miller CDP,-,CDP,3
IA,Millersburg city,89.8,city,4
IA,Millerton city,100,city,4
IA,Milo city,96,city,4
IA,Milton city,73.4,city,4
IA,Minburn city,94.2,city,4
IA,Minden city,94.7,city,4
IA,Mineola CDP,100,CDP,3
IA,Mingo city,96.4,city,4
IA,Missouri Valley city,90.4,city,4
IA,Mitchell city,82.5,city,4
IA,Mitchellville city,90.9,city,4
IA,Modale city,92.9,city,4
IA,Mona CDP,100,CDP,3
IA,Mondamin city,91.3,city,4
IA,Monmouth city,83.3,city,4
IA,Monona city,89.5,city,4
IA,Monroe city,93.4,city,4
IA,Montezuma city,94.3,city,4
IA,Monticello city,92.6,city,4
IA,Montour city,85.6,city,4
IA,Montrose city,92.7,city,4
IA,Moorhead city,97.3,city,4
IA,Moorland city,81.8,city,4
IA,Moravia city,91.1,city,4
IA,Morley city,86.8,city,4
IA,Morning Sun city,84.8,city,4
IA,Morrison city,95.3,city,4
IA,Moulton city,86.7,city,4
IA,Mount Auburn city,91.1,city,4
IA,Mount Ayr city,87.5,city,4
IA,Mount Pleasant city,92.1,city,4
IA,Mount Sterling CDP,100,CDP,3
IA,Mount Union city,85.5,city,4
IA,Mount Vernon city,96.7,city,4
IA,Moville city,97,city,4
IA,Murray city,90.8,city,4
IA,Muscatine city,85.4,city,4
IA,Mystic city,81.4,city,4
IA,Nashua city,94,city,4
IA,Nemaha city,75,city,4
IA,Neola city,97,city,4
IA,Nevada city,91.1,city,4
IA,New Albin city,95.1,#VALUE!,#VALUE!
IA,Newell city,90.9,city,4
IA,Newhall city,97.2,city,4
IA,New Hampton city,87.8,#VALUE!,#VALUE!
IA,New Hartford city,96.2,#VALUE!,#VALUE!
IA,New Haven CDP,100,CDP,3
IA,New Liberty city,93.8,#VALUE!,#VALUE!
IA,New London city,93.5,#VALUE!,#VALUE!
IA,New Market city,94,#VALUE!,#VALUE!
IA,New Providence city,95.3,#VALUE!,#VALUE!
IA,New Sharon city,93.8,#VALUE!,#VALUE!
IA,Newton city,91.6,city,4
IA,New Vienna city,89.2,#VALUE!,#VALUE!
IA,New Virginia city,94.3,#VALUE!,#VALUE!
IA,Nichols city,86.8,city,4
IA,Nodaway city,89.7,city,4
IA,Nora Springs city,90.4,city,4
IA,Northboro city,91.7,city,4
IA,North Buena Vista city,75,city,4
IA,North English city,91.4,city,4
IA,North Liberty city,97.3,city,4
IA,North Washington city,97.8,city,4
IA,Northwood city,89.4,city,4
IA,Norwalk city,96.9,city,4
IA,Norway city,94.7,city,4
IA,Numa city,67.9,city,4
IA,Oakland city,92.3,city,4
IA,Oakland Acres city,100,city,4
IA,Oakville city,82.4,city,4
IA,Ocheyedan city,91.9,city,4
IA,Odebolt city,91.2,city,4
IA,Oelwein city,85.7,city,4
IA,Ogden city,95.1,city,4
IA,Okoboji city,96.9,city,4
IA,Olds city,93.2,city,4
IA,Olin city,90.9,city,4
IA,Ollie city,78.5,city,4
IA,Onawa city,92.9,city,4
IA,Onslow city,92.9,city,4
IA,Orange City city,95.4,city,4
IA,Orchard city,93.1,city,4
IA,Orient city,94.5,city,4
IA,Orleans city,97.6,city,4
IA,Osage city,94.3,city,4
IA,Osceola city,84.5,city,4
IA,Oskaloosa city,91.1,city,4
IA,Ossian city,93.3,city,4
IA,Osterdock city,94.6,city,4
IA,Otho city,87.4,city,4
IA,Oto city,81.5,#VALUE!,#VALUE!
IA,Otranto CDP,100,CDP,3
IA,Ottosen city,85.7,city,4
IA,Ottumwa city,84.1,city,4
IA,Owasa city,100,city,4
IA,Oxford city,90.7,city,4
IA,Oxford Junction city,87.3,city,4
IA,Oyens city,100,city,4
IA,Pacific Junction city,73.7,city,4
IA,Packwood city,82.5,city,4
IA,Palmer city,82.9,city,4
IA,Palo city,96.8,city,4
IA,Panama city,90.5,city,4
IA,Panora city,87.9,city,4
IA,Panorama Park city,84.3,city,4
IA,Parkersburg city,93.1,city,4
IA,Park View CDP,96.1,CDP,3
IA,Parnell city,96.3,city,4
IA,Paton city,96.4,city,4
IA,Patterson city,89.3,city,4
IA,Paullina city,92,city,4
IA,Pella city,90.7,city,4
IA,Peosta city,96,city,4
IA,Percival CDP,100,CDP,3
IA,Perry city,77.7,city,4
IA,Persia city,91.3,city,4
IA,Peterson city,88.9,city,4
IA,Pierson city,92,city,4
IA,Pilot Mound city,84.8,city,4
IA,Pioneer city,100,city,4
IA,Pisgah city,88.3,city,4
IA,Plainfield city,93.8,city,4
IA,Plano city,90.9,city,4
IA,Pleasant Hill city,92,city,4
IA,Pleasanton city,86.7,city,4
IA,Pleasant Plain city,84.2,city,4
IA,Pleasantville city,93.8,city,4
IA,Plover city,93.8,city,4
IA,Plymouth city,88.5,city,4
IA,Pocahontas city,93,city,4
IA,Polk City city,97.5,city,4
IA,Pomeroy city,91.3,city,4
IA,Popejoy city,100,city,4
IA,Portland CDP,100,CDP,3
